"Ticker","Year","Quarter","DataSource","Result","QuarterEndPrice","CurrentPrice","OrdinaryShares","EpsAnnualized","BookValuePerShare","PaidUpCapital","Premium","Reserves","LtLiabilities","TotalFunds","FixedAssets","Depreciation","NetFixedAssets","NonCoreAssets","Investments","WorkInProgress","Cash","Receivables","AdvancesPrepaymentsLoansDeposits","Inventory","TotalCurrentAssets","StLiabilities","DeferredLiabilities","TotalStLiabilities","ApplicationOfFunds","EnergySales","CostOfProduction","GrossProfit","DividendIncome","ForexGainLoss","OtherIncome","AdminExpenses","OperatingProfit","InterestIncomeExpense","Depreciation","Provisions","ProfitBeforeTax","Bonus","ProfitAfterTax"
"AHL","2019/20","2","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2016/17","3","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2018/19","4","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2025/26","2","Published","NaN","542.0","470.0","3400.0","-17.004640588235294","77.33793970588235","340000.0","0.0","-77051.005","839211.152","1102160.147","0.0","0.0","1196539.581","0.0","4900.0","0.0","11734.383","0.0","49604.845","0.0","61339.228","160618.662","0.0","160618.662","1102160.147","51964.857","17071.472","34893.385","0.0","0.0","0.0","7179.019","27714.366","-33443.556","23178.699","0.0","-28907.889","0.0","-28907.889"
"AHL","2012/13","2","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2022/23","2","Published","NaN","0.0","470.0","2220.0","2.6615972972972974","140.91085495495494","222000.0","0.0","90822.098","1020978.982","1333801.08","0.0","0.0","1321610.801","0.0","0.0","0.0","1166.737","11856.029","44402.023","0.0","57424.789","45234.509","0.0","45234.509","1333801.081","95172.439","6784.79","88387.649","0.0","0.0","0.0","6547.53","81840.119","-55934.473","22951.273","0.0","2954.373","0.0","2954.373"
"AHL","2016/17","1","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2015/16","4","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2025/26","3","Published","NaN","550.2","470.0","3400.0","-19.30999333333333","71.35776470588235","340000.0","0.0","-97383.6","834742.006","1077358.406","0.0","0.0","1224720.481","0.0","4900.0","0.0","2902.448","0.0","46102.958","0.0","49005.406","201267.481","0.0","201267.481","1077358.406","51964.857","21812.132","30152.725","0.0","0.0","0.0","9762.56","20390.165","-34076.367","35554.281","0.0","-49240.483","0.0","-49240.483"
"AHL","2024/25","3","Published","NaN","716.35","470.0","3400.0","-12.020006666666665","86.10749088235293","340000.0","0.0","-47234.531","864682.872","1157448.341","0.0","0.0","1231307.63","0.0","0.0","0.0","4900.473","9025.135","58147.199","0.0","72072.807","145932.096","0.0","145932.096","1157448.341","95873.723","15944.726","79928.997","0.0","0.0","0.0","9363.818","70565.179","-66448.147","34768.049","0.0","-30651.017","0.0","-30651.017"
