Ticker,Year_Int,Year,Installed_Capacity_MW,License_Issue_Year,License_Term_Years,PPA_Tariff_Wet,PPA_Tariff_Dry,PLF
NHPC,2011,2011/12,7.5,2054.0,50.0,4.8,8.4,0.4643356894977169
NHPC,2012,2012/13,7.5,2054.0,50.0,4.8,8.4,0.4815170829528158
NHPC,2013,2013/14,7.5,2054.0,50.0,4.8,8.4,0.4524714292237443
NHPC,2014,2014/15,7.5,2054.0,50.0,4.8,8.4,0.4845986194824962
NHPC,2015,2015/16,7.5,2054.0,50.0,4.8,8.4,0.4140667922374429
NHPC,2016,2016/17,7.5,2054.0,50.0,4.8,8.4,0.4571564741248097
NHPC,2017,2017/18,7.5,2054.0,50.0,4.8,8.4,0.4660325142059868
NHPC,2018,2018/19,7.5,2054.0,50.0,4.8,8.4,0.5203872587519026
NHPC,2019,2019/20,7.5,2054.0,50.0,4.8,8.4,0.5424518127853881
NHPC,2020,2020/21,7.5,2054.0,50.0,4.8,8.4,0.4047008333333333
NHPC,2021,2021/22,7.5,2054.0,50.0,4.8,8.4,0.4427112427701674
NHPC,2022,2022/23,7.5,2054.0,50.0,4.8,8.4,0.4959229472349061
NHPC,2023,2023/24,7.5,2054.0,50.0,4.8,8.4,0.480401803652968
NHPC,2024,2024/25,7.5,2054.0,50.0,4.8,8.4,0.4132276610857432
BARUN,2015,2015/16,4.455,2065.0,35.0,4.8,8.4,0.0231201529928064
BARUN,2016,2016/17,4.455,2065.0,35.0,4.8,8.4,0.3201133053860096
BARUN,2017,2017/18,4.455,2065.0,35.0,4.8,8.4,0.3683051895583605
BARUN,2018,2018/19,4.455,2065.0,35.0,4.8,8.4,0.3343593212695191
BARUN,2019,2019/20,4.455,2065.0,35.0,4.8,8.4,0.3630266387876737
BARUN,2020,2020/21,4.455,2065.0,35.0,4.8,8.4,0.2552103394848194
BARUN,2021,2021/22,4.455,2065.0,35.0,4.8,8.4,0.4013953248022248
BARUN,2022,2022/23,4.455,2065.0,35.0,4.8,8.4,0.3404113432652245
BARUN,2023,2023/24,4.455,2065.0,35.0,4.8,8.4,0.0149140098772265
BARUN,2024,2024/25,4.455,2065.0,35.0,4.8,8.4,0.4143475769021177
IHL,2023,2023/24,,,,4.8,8.4,
IHL,2024,2024/25,,,,4.8,8.4,
MSHL,2023,2023/24,9.5,2077.0,35.0,4.8,8.4,0.533802044780902
MSHL,2024,2024/25,9.5,2077.0,35.0,4.8,8.4,0.6323789333493551
DORDI,2018,2018/19,12.0,2069.0,36.0,4.8,8.4,0.0
DORDI,2019,2019/20,12.0,2069.0,36.0,4.8,8.4,0.0
DORDI,2020,2020/21,12.0,2069.0,36.0,4.8,8.4,0.0
DORDI,2021,2021/22,12.0,2069.0,36.0,4.8,8.4,0.0
DORDI,2022,2022/23,12.0,2069.0,36.0,4.8,8.4,0.3458943505834602
DORDI,2023,2023/24,12.0,2069.0,36.0,4.8,8.4,0.5165907058599696
DORDI,2024,2024/25,12.0,2069.0,36.0,4.8,8.4,0.4774046343860984
MHL,2023,2023/24,4.0,2070.0,35.0,4.8,8.4,0.5115634750761034
MHL,2024,2024/25,4.0,2070.0,35.0,4.8,8.4,0.519292927130898
MANDU,2023,2023/24,32.0,2071.0,35.0,4.8,8.4,0.4364850682553272
MANDU,2024,2024/25,32.0,2071.0,35.0,4.8,8.4,0.1217312315686834
RADHI,2016,2016/17,4.4,2068.0,35.0,4.8,8.4,0.5691653720423412
RADHI,2017,2017/18,4.4,2068.0,35.0,4.8,8.4,0.5950386930088557
RADHI,2018,2018/19,4.4,2068.0,35.0,4.8,8.4,0.6317956651273005
RADHI,2019,2019/20,4.4,2068.0,35.0,4.8,8.4,0.6932740218970528
RADHI,2020,2020/21,4.4,2068.0,35.0,4.8,8.4,0.5608270820361145
RADHI,2021,2021/22,4.4,2068.0,35.0,4.8,8.4,0.5835962147156496
RADHI,2022,2022/23,4.4,2068.0,35.0,4.8,8.4,0.5554891336308289
RADHI,2023,2023/24,4.4,2068.0,35.0,4.8,8.4,0.4212937595129375
RADHI,2024,2024/25,4.4,2068.0,35.0,4.8,8.4,0.5575214646464647
RFPL,2021,2021/22,10.3,2070.0,35.0,4.8,8.4,0.0
RFPL,2022,2022/23,10.3,2070.0,35.0,4.8,8.4,0.0
RFPL,2023,2023/24,10.3,2070.0,35.0,4.8,8.4,0.3369316065966219
RFPL,2024,2024/25,10.3,2070.0,35.0,4.8,8.4,0.430284556900297
JOSHI,2020,2020/21,3.0,2070.0,35.0,4.8,8.4,0.2304977368087265
JOSHI,2021,2021/22,3.0,2070.0,35.0,4.8,8.4,0.3663947869101979
JOSHI,2022,2022/23,3.0,2070.0,35.0,4.8,8.4,0.0763061978056823
